origen,archivo,alimento,kcal_100g,alimento_normalizado
ARGENFOOD,argen_carnes.xls,"Nalga, cruda",98,Nalga Cruda
ARGENFOOD,argen_carnes.xls,"Paleta, cocida",207,Paleta Cocida
ARGENFOOD,argen_carnes.xls,"Paleta, cruda",107,Paleta Cruda
ARGENFOOD,argen_carnes.xls,"Vacío, cocido",231,Vacio
ARGENFOOD,argen_carnes.xls,"Vacío, crudo",105,Vacio
ARGENFOOD,argen_carnes.xls,"Bife, cocido",236,Bife
ARGENFOOD,argen_carnes.xls,"Bife, crudo",120,Bife
ARGENFOOD,argen_carnes.xls,"Nalga, cocida",177,Nalga Cocida
ARGENFOOD,argen_carnes.xls,"Nalga, cruda",103,Nalga Cruda
ARGENFOOD,argen_carnes.xls,"Paleta, cocida",192,Paleta Cocida
ARGENFOOD,argen_carnes.xls,"Paleta, cruda",106,Paleta Cruda
ARGENFOOD,argen_carnes.xls,"Vacío, cocido",203,Vacio
ARGENFOOD,argen_carnes.xls,"Vacío, crudo",107,Vacio
ARGENFOOD,argen_carnes.xls,"Jamon cocido ""Villafranca Novissimo"".El Bierzo. Reducido en colesterol",98,"Jamon ""Villafranca Novissimo"".El Bierzo. Reducido En Colesterol"
ARGENFOOD,argen_carnes.xls,"Lomo ahumado de cerdo cocido ""Villafranca Novissimo"". El Bierzo. Reducido en sodio y en colesterol",95,"Lomo Ahumado De Cerdo ""Villafranca Novissimo"". El Bierzo. Reducido En Sodio Y En Colesterol"
ARGENFOOD,argen_carnes.xls,"Mortadela"" Villafranca Novissimo"". El Bierzo - reducida en grasa y en sodio",139,"Mortadela"" Villafranca Novissimo"". El Bierzo - Reducida En Grasa Y En Sodio"
ARGENFOOD,argen_carnes.xls,"Pastron ahumado ""Villafranca Novissimo"". El Bierzo. Reducido en sodio y en colesterol",79,"Pastron Ahumado ""Villafranca Novissimo"". El Bierzo. Reducido En Sodio Y En Colesterol"
ARGENFOOD,argen_carnes.xls,"Salame ""Villafranca Novissimo"".El Bierzo.Reducido en sodio y en colesterol",134,"Salame ""Villafranca Novissimo"".El Bierzo.Reducido En Sodio Y En Colesterol"
ARGENFOOD,argen_carnes.xls,Carne de vizcacha,46,Carne De Vizcacha
ARGENFOOD,argen_cereales.xls,Alimento,Energía,Alimento
ARGENFOOD,argen_cereales.xls,"Amaranto, semilla, cruda (Amarantus caudatus)",384,Amaranto Semilla Cruda (Amarantus Caudatus)
ARGENFOOD,argen_cereales.xls,"Amaranto, semilla, cruda (Amarantus hipochondriacus)",381,Amaranto Semilla Cruda (Amarantus Hipochondriacus)
