alimento_normalizado,kcal_100g,archivo,categoria,medida_casera,gramos_aprox,kcal_por_porcion
Paleta Cocida,192.0,argen_carnes.xls,carne,porcion_carne_chica,100,192.0
Paleta Cruda,106.0,argen_carnes.xls,carne,porcion_carne_chica,100,106.0
Vacio,203.0,argen_carnes.xls,carne,porcion_carne_chica,100,203.0
Vacio,107.0,argen_carnes.xls,carne,porcion_carne_chica,100,107.0
"Jamon ""Villafranca Novissimo"".El Bierzo. Reducido En Colesterol",98.0,argen_carnes.xls,carne,porcion_carne_chica,100,98.0
"Lomo Ahumado De Cerdo ""Villafranca Novissimo"". El Bierzo. Reducido En Sodio Y En Colesterol",95.0,argen_carnes.xls,carne,porcion_carne_chica,100,95.0
"Mortadela"" Villafranca Novissimo"". El Bierzo - Reducida En Grasa Y En Sodio",139.0,argen_carnes.xls,carne,porcion_carne_chica,100,139.0
"Pastron Ahumado ""Villafranca Novissimo"". El Bierzo. Reducido En Sodio Y En Colesterol",79.0,argen_carnes.xls,carne,porcion_carne_chica,100,79.0
"Salame ""Villafranca Novissimo"".El Bierzo.Reducido En Sodio Y En Colesterol",134.0,argen_carnes.xls,carne,porcion_carne_chica,100,134.0
Carne De Vizcacha,46.0,argen_carnes.xls,carne,porcion_carne_chica,100,46.0
Alimento,,argen_cereales.xls,otros,otros,0,
Amaranto Semilla Cruda (Amarantus Caudatus),384.0,argen_cereales.xls,otros,otros,0,0.0
Amaranto Semilla Cruda (Amarantus Hipochondriacus),381.0,argen_cereales.xls,otros,otros,0,0.0
Amaranto Semilla Cruda (Amarantus Mantegazzianus),388.0,argen_cereales.xls,otros,otros,0,0.0
Amaranto Semillia Cruda (Amarantus Cruentus),384.0,argen_cereales.xls,otros,otros,0,0.0
Arroz Grano Blanco Pulido,339.0,argen_cereales.xls,otros,otros,0,0.0
Arroz Grano Blanco Pulido Hervido,82.0,argen_cereales.xls,otros,otros,0,0.0
Avena Grano Arrollada Cruda,383.0,argen_cereales.xls,otros,otros,0,0.0
Avena Grano Arrollada Cruda,343.0,argen_cereales.xls,otros,otros,0,0.0
Avena Grano Arrollada Hervida,86.0,argen_cereales.xls,otros,otros,0,0.0
Cebada Grano Mondado Perlado,317.0,argen_cereales.xls,otros,otros,0,0.0
Cebada Grano Mondado Perlado Hervido,82.0,argen_cereales.xls,otros,otros,0,0.0
"Cebada Harina ""Genser"" Cruda",328.0,argen_cereales.xls,otros,otros,0,0.0
Centeno Harina Clara Cruda,332.0,argen_cereales.xls,otros,otros,0,0.0
Centeno Pan,206.0,argen_cereales.xls,otros,otros,0,0.0
Centeno Pan Con Harina Integral,214.0,argen_cereales.xls,otros,otros,0,0.0
Maiz Amarillo Leales Grano Entero,346.0,argen_cereales.xls,otros,otros,0,0.0
Maiz Amarillo Pisingallo Grano Entero,345.0,argen_cereales.xls,otros,otros,0,0.0
Maiz Amarillo Semola Grano Entero,305.0,argen_cereales.xls,otros,otros,0,0.0
Maiz Amarillo Tropico 327 Grano Entero,344.0,argen_cereales.xls,otros,otros,0,0.0
Maiz Blanco 8 Rayas Grano Entero,340.0,argen_cereales.xls,otros,otros,0,0.0
Maiz Blanco Perla Grano Entero,335.0,argen_cereales.xls,otros,otros,0,0.0
Maiz Choclo,97.0,argen_cereales.xls,otros,otros,0,0.0
Maiz Grano Entero (Zea Mays Spp),346.0,argen_cereales.xls,otros,otros,0,0.0
Maiz Harina Amarilla (Polenta) Cruda,369.0,argen_cereales.xls,otros,otros,0,0.0
Maiz Harina Amarilla (Polenta) Cruda,338.0,argen_cereales.xls,otros,otros,0,0.0
Maiz Harina Amarilla (Polenta) Hervida,68.0,argen_cereales.xls,otros,otros,0,0.0
Maiz Pan,275.0,argen_cereales.xls,otros,otros,0,0.0
"Trigo Bizcochos ""Bay Biscuit""",382.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Bizcochos Vainillas,401.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Galleta De Campo,300.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Galleta Marinera,361.0,argen_cereales.xls,otros,otros,0,0.0
"Trigo Galletitas De Agua ""Express""",442.0,argen_cereales.xls,otros,otros,0,0.0
"Trigo Galletitas De Agua ""Traviata""",437.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Galletitas De Harina Blanca,410.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Galletitas De Harina Integral,411.0,argen_cereales.xls,otros,otros,0,0.0
"Trigo Galletitas Dulces ""Manon""",417.0,argen_cereales.xls,otros,otros,0,0.0
"Trigo Galletitas Dulces ""Minue""",419.0,argen_cereales.xls,otros,otros,0,0.0
"Trigo Galletitas Oblea ""Opera""",442.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Grano Entero,347.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Grisines,342.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Harina Cuatro Ceros,348.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Harina Integral,308.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Harina Tres Cero,340.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Pan Aleman,264.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Pan Criollo,280.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Pan De Salvado,223.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Pan De Viena,307.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Pan Frances,268.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Pan Frances,269.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Pan Negro Con Levadura Agria,271.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Pan Negro Con Levadura Comprimida,269.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Pan Negro Sin Levadura,269.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Salvado,171.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Semola Cruda,349.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Semola Hervida,70.0,argen_cereales.xls,otros,otros,0,0.0
Trigo Tallarines S Hervidos,98.0,argen_cereales.xls,otros,otros,0,0.0
Alimento,,argen_frutas.xls,fruta,taza_verduras_crudas,65,
Aceituna De Monte,93.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,60.4
Aceituna Verde Pulpa Encurtida,144.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,93.6
Anana Enlatado Contenido Envase,87.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,56.6
Anana Pulpa,58.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,37.7
Banana Pulpa Fresca,99.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,64.4
Cereza Pulpa Fresca,68.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,44.2
Ciruela Pasa Cruda,255.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,165.8
Ciruela Pasa Hervida,165.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,107.2
Ciruela Pulpa Fresca,56.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,36.4
Coco Pulpa,382.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,248.3
Damasco Pulpa,57.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,37.0
Doca,49.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,31.8
Durazno Orejon Pulpa Y Piel Hervido,40.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,26.0
Durazno Pulpa Envasado Al Natural,75.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,48.8
Durazno Pulpa,51.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,33.2
Frutilla Pulpa Fresca Cruda,41.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,26.6
Granada Pulpa Fresca,75.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,48.8
Guaranina Brumelia Obtusifolia,147.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,95.6
Higo Pulpa Fresca,88.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,57.2
Kaki Pulpa,87.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,56.6
Kinoto Pulpa Y Cascara,73.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,47.4
Limon Pulpa,44.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,28.6
Manzana Hervida,26.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,16.9
Manzana Pulpa Fresca Cruda,64.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,41.6
Mburucuya Maduro,84.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,54.6
Mburucuya Verde,59.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,38.4
Melon Pulpa,28.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,18.2
Membrillo Pulpa,58.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,37.7
Mora Fresca,69.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,44.8
Nandapiri,70.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,45.5
Palta Pulpa Fresca,258.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,167.7
Pera Orejon,299.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,194.4
Pera Pulpa Fresca Cruda,70.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,45.5
Pomelo Pulpa,26.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,16.9
Sandia Pulpa Fresca Cruda,31.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,20.2
Ubajay,49.0,argen_frutas.xls,fruta,taza_verduras_crudas,65,31.8
Alimento,,argen_grasas.xls,otros,otros,0,
Aceite Comestible Mezcla Lira 85% Girasol 15% Oliva,900.0,argen_grasas.xls,otros,otros,0,0.0
Aceite Comestible Mezcla Patito 94% Girasol 6% Maiz,900.0,argen_grasas.xls,otros,otros,0,0.0
Aceite De Canola,900.0,argen_grasas.xls,otros,otros,0,0.0
Aceite De Girasol Familiar,900.0,argen_grasas.xls,otros,otros,0,0.0
Aceite De Girasol Ideal,900.0,argen_grasas.xls,otros,otros,0,0.0
Aceite De Girasol Natura,900.0,argen_grasas.xls,otros,otros,0,0.0
Aceite De Maiz Arcor,900.0,argen_grasas.xls,otros,otros,0,0.0
Aceite De Maiz Cocinero,900.0,argen_grasas.xls,otros,otros,0,0.0
Aceite De Maiz Mazzola,900.0,argen_grasas.xls,otros,otros,0,0.0
Aceite De Oliva Cocinero,900.0,argen_grasas.xls,otros,otros,0,0.0
Aceite De Uva Cocinero,900.0,argen_grasas.xls,otros,otros,0,0.0
Grasa De Cerdo,898.0,argen_grasas.xls,otros,otros,0,0.0
Grasa Vacuna,899.0,argen_grasas.xls,otros,otros,0,0.0
Margarina 100% Vegetal Delicia,747.0,argen_grasas.xls,otros,otros,0,0.0
Margarina 100% Vegetal Manty (En Pote Y En Pan),747.0,argen_grasas.xls,otros,otros,0,0.0
Margarina Reducida En Calorias Manty Liviana,504.0,argen_grasas.xls,otros,otros,0,0.0
Alimento,,argen_huevo.xls,otros,otros,0,
Huevo De Codorniz Entero,174.0,argen_huevo.xls,otros,otros,0,0.0
Huevo De Gallina Clara,54.0,argen_huevo.xls,otros,otros,0,0.0
Huevo De Gallina Clara Cruda,48.0,argen_huevo.xls,otros,otros,0,0.0
Huevo De Gallina Entero,156.0,argen_huevo.xls,otros,otros,0,0.0
Huevo De Gallina Frito,196.0,argen_huevo.xls,otros,otros,0,0.0
Huevo De Gallina Poche,152.0,argen_huevo.xls,otros,otros,0,0.0
Huevo De Gallina Yema Cruda,325.0,argen_huevo.xls,otros,otros,0,0.0
Alimento,,argen_leche.xls,otros,otros,0,
Leche Condensada Nestle,328.0,argen_leche.xls,otros,otros,0,0.0
Leche De Burra Entera Fluida,45.0,argen_leche.xls,otros,otros,0,0.0
Leche De Cabra Entera Fluida,78.0,argen_leche.xls,otros,otros,0,0.0
Leche De Oveja Entera Fluida,99.0,argen_leche.xls,otros,otros,0,0.0
Leche De Vaca Entera Fluida Adicionada Con Vitamina A,57.0,argen_leche.xls,otros,otros,0,0.0
Leche De Vaca Entera Fluida Pasteurizada,57.0,argen_leche.xls,otros,otros,0,0.0
Leche De Vaca Parcialm. Descremada Adic. Con Vit A Y D,44.0,argen_leche.xls,otros,otros,0,0.0
Leche En Polvo Descremada,370.0,argen_leche.xls,otros,otros,0,0.0
Leche En Polvo Entera,489.0,argen_leche.xls,otros,otros,0,0.0
Leche Humana Entera En Polvo,520.0,argen_leche.xls,otros,otros,0,0.0
Leche Humana Entera Fluida,71.0,argen_leche.xls,otros,otros,0,0.0
Manteca Fresca,758.0,argen_leche.xls,otros,otros,0,0.0
Queso Crema Entero Untable,246.0,argen_leche.xls,otros,otros,0,0.0
Queso Descremado Untable,82.0,argen_leche.xls,otros,otros,0,0.0
Queso Petit Suisse,182.0,argen_leche.xls,otros,otros,0,0.0
Queso Semidescremado Untable,104.0,argen_leche.xls,otros,otros,0,0.0
Queso Blanco Argentino Semimagro,104.0,argen_leche.xls,otros,otros,0,0.0
Queso Belpaese,309.0,argen_leche.xls,otros,otros,0,0.0
Queso Camembert,287.0,argen_leche.xls,otros,otros,0,0.0
Queso Cremoso,302.0,argen_leche.xls,otros,otros,0,0.0
Queso Cuartirolo,291.0,argen_leche.xls,otros,otros,0,0.0
Queso Doble Crema,260.0,argen_leche.xls,otros,otros,0,0.0
Queso Limburgues,324.0,argen_leche.xls,otros,otros,0,0.0
Queso Mozarella,282.0,argen_leche.xls,otros,otros,0,0.0
Queso Por Salut,301.0,argen_leche.xls,otros,otros,0,0.0
Queso Azul,377.0,argen_leche.xls,otros,otros,0,0.0
Queso Cheddar,357.0,argen_leche.xls,otros,otros,0,0.0
Queso Chubut,328.0,argen_leche.xls,otros,otros,0,0.0
Queso Fontina,340.0,argen_leche.xls,otros,otros,0,0.0
Queso Gorgonzola,480.0,argen_leche.xls,otros,otros,0,0.0
Queso Gruyere,379.0,argen_leche.xls,otros,otros,0,0.0
Queso Holanda,345.0,argen_leche.xls,otros,otros,0,0.0
Queso Pategras,410.0,argen_leche.xls,otros,otros,0,0.0
Queso Roquefort,426.0,argen_leche.xls,otros,otros,0,0.0
Queso Suizo,404.0,argen_leche.xls,otros,otros,0,0.0
Queso Tafi,358.0,argen_leche.xls,otros,otros,0,0.0
Queso Tandil,345.0,argen_leche.xls,otros,otros,0,0.0
Queso Tipo Mar Del Plata,332.0,argen_leche.xls,otros,otros,0,0.0
Queso Goya,402.0,argen_leche.xls,otros,otros,0,0.0
Queso Parmesano,350.0,argen_leche.xls,otros,otros,0,0.0
Queso Provolone,391.0,argen_leche.xls,otros,otros,0,0.0
Queso Reggianito,365.0,argen_leche.xls,otros,otros,0,0.0
Queso Sardo,402.0,argen_leche.xls,otros,otros,0,0.0
Queso Sbrinz,357.0,argen_leche.xls,otros,otros,0,0.0
Ricota De Leche Entera,168.0,argen_leche.xls,otros,otros,0,0.0
Ricotta Semidescremada,168.0,argen_leche.xls,otros,otros,0,0.0
Yogur Descremado,59.0,argen_leche.xls,otros,otros,0,0.0
Yogur Descremado Bebible,30.0,argen_leche.xls,otros,otros,0,0.0
Yogur Descremado Fortificado Con Ca,48.0,argen_leche.xls,otros,otros,0,0.0
Yogur Entero Bebible,82.0,argen_leche.xls,otros,otros,0,0.0
Yogur Entero Natural,66.0,argen_leche.xls,otros,otros,0,0.0
Yogur Entero Saborizado,88.0,argen_leche.xls,otros,otros,0,0.0
Alimento,,argen_misc.xls,otros,otros,0,
Mayonesa Reducida En Calorias,320.0,argen_misc.xls,otros,otros,0,0.0
Mayonesa Ri-K,723.0,argen_misc.xls,otros,otros,0,0.0
Mortadela,245.0,argen_misc.xls,otros,otros,0,0.0
Polen De Totora,288.0,argen_misc.xls,otros,otros,0,0.0
Alimento,,argen_pescados.xls,pescado,porcion_carne_chica,100,
Abadejo Carne,72.0,argen_pescados.xls,pescado,porcion_carne_chica,100,72.0
Amarillo A La Parrilla Musculo Dorsal,183.0,argen_pescados.xls,pescado,porcion_carne_chica,100,183.0
Amarillo Al Horno Musculo Dorsal,233.0,argen_pescados.xls,pescado,porcion_carne_chica,100,233.0
Amarillo Musculo Dorsal,141.0,argen_pescados.xls,pescado,porcion_carne_chica,100,141.0
Amarillo Frito Musculo Dorsal,232.0,argen_pescados.xls,pescado,porcion_carne_chica,100,232.0
