alimento_normalizado,kcal_100g,origen,archivo,alimento
Abadejo Carne,72.0,ARGENFOOD,argen_pescados.xls,Abadejo, fresco, crudo, carne
Aceite Comestible Mezcla Lira 85% Girasol 15% Oliva,900.0,ARGENFOOD,argen_grasas.xls,Aceite comestible mezcla Lira, 85% girasol, 15% oliva
Aceite Comestible Mezcla Patito 94% Girasol 6% Maiz,900.0,ARGENFOOD,argen_grasas.xls,Aceite comestible mezcla Patito, 94% girasol, 6% maiz
Aceite De Canola,900.0,ARGENFOOD,argen_grasas.xls,Aceite de canola
Aceite De Girasol Familiar,900.0,ARGENFOOD,argen_grasas.xls,Aceite de girasol Familiar
Aceite De Girasol Ideal,900.0,ARGENFOOD,argen_grasas.xls,Aceite de girasol Ideal
Aceite De Girasol Natura,900.0,ARGENFOOD,argen_grasas.xls,Aceite de girasol Natura
Aceite De Maiz Arcor,900.0,ARGENFOOD,argen_grasas.xls,Aceite de maiz Arcor
Aceite De Maiz Cocinero,900.0,ARGENFOOD,argen_grasas.xls,Aceite de maiz Cocinero
Aceite De Maiz Mazzola,900.0,ARGENFOOD,argen_grasas.xls,Aceite de maiz Mazzola
Aceite De Oliva Cocinero,900.0,ARGENFOOD,argen_grasas.xls,Aceite de oliva Cocinero
Aceite De Uva Cocinero,900.0,ARGENFOOD,argen_grasas.xls,Aceite de uva Cocinero
Aceituna De Monte,93.0,ARGENFOOD,argen_frutas.xls,Aceituna de monte
Aceituna Verde Pulpa Encurtida,144.0,ARGENFOOD,argen_frutas.xls,Aceituna verde, pulpa, encurtida
Acelga Hoja,15.0,ARGENFOOD,argen_vegetales.xls,Acelga, hoja
Acelga Tallo,8.0,ARGENFOOD,argen_vegetales.xls,Acelga, tallo
Achicoria De Monte,46.0,ARGENFOOD,argen_vegetales.xls,Achicoria de Monte
Achicoria Hoja Fresca Cruda,21.0,ARGENFOOD,argen_vegetales.xls,Achicoria, hoja, fresca, cruda
Achira (Raices),34.0,ARGENFOOD,argen_vegetales.xls,Achira (raíces)
Ajo Bulbo,99.0,ARGENFOOD,argen_vegetales.xls,Ajo, bulbo, fresco, crudo
Alcaucil Inflorescencia,63.0,ARGENFOOD,argen_vegetales.xls,Alcaucil, inflorescencia, fresco, crudo
Alfalfa Hoja Fresca Cruda,57.0,ARGENFOOD,argen_vegetales.xls,Alfalfa, hoja, fresca, cruda
Amaranto Semilla Cruda (Amarantus Caudatus),384.0,ARGENFOOD,argen_cereales.xls,Amaranto, semilla, cruda (Amarantus caudatus)
Amaranto Semilla Cruda (Amarantus Hipochondriacus),381.0,ARGENFOOD,argen_cereales.xls,Amaranto, semilla, cruda (Amarantus hipochondriacus)
Amaranto Semilla Cruda (Amarantus Mantegazzianus),388.0,ARGENFOOD,argen_cereales.xls,Amaranto, semilla, cruda (Amarantus mantegazzianus)
Amaranto Semillia Cruda (Amarantus Cruentus),384.0,ARGENFOOD,argen_cereales.xls,Amaranto, semillia, cruda (Amarantus cruentus)
Amarillo A La Parrilla Musculo Dorsal,183.0,ARGENFOOD,argen_pescados.xls,Amarillo, fresco, a la parrilla, músculo dorsal
Amarillo Al Horno Musculo Dorsal,233.0,ARGENFOOD,argen_pescados.xls,Amarillo, fresco, al horno, músculo dorsal
Amarillo Frito Musculo Dorsal,232.0,ARGENFOOD,argen_pescados.xls,Amarillo, fresco, frito, músculo dorsal
Amarillo Hervido Musculo Dorsal,180.0,ARGENFOOD,argen_pescados.xls,Amarillo, fresco, hervido, músculo dorsal
Amarillo Musculo Dorsal,141.0,ARGENFOOD,argen_pescados.xls,Amarillo, fresco, crudo, músculo dorsal
Anana Enlatado Contenido Envase,87.0,ARGENFOOD,argen_frutas.xls,Ananá enlatado, contenido envase
Anana Pulpa,58.0,ARGENFOOD,argen_frutas.xls,Ananá, pulpa, fresco
Anchoa Pasta,202.0,ARGENFOOD,argen_pescados.xls,Ancho, pasta
Anchoa Fresca Cruda Carne,92.0,ARGENFOOD,argen_pescados.xls,Anchoa, fresca, cruda, carne
Anchoita Fresca Cruda Carne,129.0,ARGENFOOD,argen_pescados.xls,Anchoita, fresca, cruda, carne
Armado Al Horno Musculo Dorsal,128.0,ARGENFOOD,argen_pescados.xls,Armado, fresco, al horno, músculo dorsal
Armado Frito Musculo Dorsal,130.0,ARGENFOOD,argen_pescados.xls,Armado, fresco, frito, músculo dorsal
Armado Hervido Musculo Dorsal,102.0,ARGENFOOD,argen_pescados.xls,Armado, fresco, hervido, músculo dorsal
Armado Musculo Dorsal,75.0,ARGENFOOD,argen_pescados.xls,Armado, fresco, crudo, músculo dorsal
Armado Musculo Ventral,103.0,ARGENFOOD,argen_pescados.xls,Armado, fresco, crudo, músculo ventral
Arroz Grano Blanco Pulido,339.0,ARGENFOOD,argen_cereales.xls,Arroz, grano, blanco, pulido, crudo
Arroz Grano Blanco Pulido Hervido,82.0,ARGENFOOD,argen_cereales.xls,Arroz, grano, blanco, pulido, hervido
Arveja Semilla Fresca Cruda,102.0,ARGENFOOD,argen_vegetales.xls,Arveja, semilla, fresca, cruda
Arveja Semilla Fresca Enlatada,105.0,ARGENFOOD,argen_vegetales.xls,Arveja, semilla, fresca, enlatada
Arveja Semilla Fresca Hervida,77.0,ARGENFOOD,argen_vegetales.xls,Arveja, semilla, fresca, hervida
Arveja Semilla Seca Entera Cruda,304.0,ARGENFOOD,argen_vegetales.xls,Arveja, semilla, seca, entera, cruda
