alimento,kcal,origen,hoja
"Inconnu, wild, meat, smoke/baked",199,FAO,09 Fish & Shellfish
"Inconnu, wild, meat, smoke/dried",428,FAO,09 Fish & Shellfish
"Loche, wild, meat, raw",81,FAO,09 Fish & Shellfish
"Loche, wild, meat, baked",102,FAO,09 Fish & Shellfish
"Loche, wild, head, baked",107,FAO,09 Fish & Shellfish
"Loche, wild, liver, raw",451,FAO,09 Fish & Shellfish
"Loche, wild, liver, baked",603,FAO,09 Fish & Shellfish
"Loche, wild, skin, raw",111,FAO,09 Fish & Shellfish
"Loche, wild, skin, baked",146,FAO,09 Fish & Shellfish
"Pike, wild, meat, raw",87,FAO,09 Fish & Shellfish
"Pike, wild, meat, baked",100,FAO,09 Fish & Shellfish
"Trout, wild, meat, raw",126,FAO,09 Fish & Shellfish
"Trout, wild, meat, baked",129,FAO,09 Fish & Shellfish
"Whitefish, wild, meat, raw",109,FAO,09 Fish & Shellfish
"Whitefish, wild, meat, baked",115,FAO,09 Fish & Shellfish
"Whitefish, wild, meat, smoked/baked",233,FAO,09 Fish & Shellfish
"Whitefish, wild, meat, smoked/dried",402,FAO,09 Fish & Shellfish
"Whitefish, wild, eggs, raw",214,FAO,09 Fish & Shellfish
"Whitefish, wild, eggs, baked",276,FAO,09 Fish & Shellfish
"Whitefish, wild, head, baked",147,FAO,09 Fish & Shellfish
"Whitefish, wild, esophagus, raw",100,FAO,09 Fish & Shellfish
"Whitefish, crookedback, wild, meat, raw",84,FAO,09 Fish & Shellfish
"Whitefish, crookedback, wild, meat, baked",111,FAO,09 Fish & Shellfish
"Sea bass, wild, skinless fillet, raw",96,FAO,09 Fish & Shellfish
