origen,archivo,alimento,kcal_100g
ARGENFOOD,argen_vegetales.xls,"Coliflor, pimpollo, fresco, crudo",31
ARGENFOOD,argen_vegetales.xls,"Diente de león, hoja",33
ARGENFOOD,argen_vegetales.xls,"Escarola crespa, hoja, cruda",24
ARGENFOOD,argen_vegetales.xls,"Esparrago, tallo tierno, fresco, crudo",26
ARGENFOOD,argen_vegetales.xls,"Espinaca, hoja, fresca, cruda",24
ARGENFOOD,argen_vegetales.xls,"Espinaca, hoja, fresca, hervida",13
ARGENFOOD,argen_vegetales.xls,"Garbanzo, grano entero, seco, hervido",125
ARGENFOOD,argen_vegetales.xls,"Habas, semilla inmadura, fresca, cruda",99
ARGENFOOD,argen_vegetales.xls,"Hinojo, tallo, fresco, crudo",24
ARGENFOOD,argen_vegetales.xls,"Lengua de vaca, hojas, tejido fresco, parte comestible",43
ARGENFOOD,argen_vegetales.xls,"Lenteja, semilla entera, seca, cruda",350
ARGENFOOD,argen_vegetales.xls,"Lupino andino, con cáscara, semilla, crudo",399
ARGENFOOD,argen_vegetales.xls,"Lupino andino, sin cáscara, semilla, crudo",411
ARGENFOOD,argen_vegetales.xls,"Maní, semilla con piel, crudo",576
ARGENFOOD,argen_vegetales.xls,"Maní, semilla sin piel, tostado",592
ARGENFOOD,argen_vegetales.xls,"Mastuerzo (hoja y pecíolo), fresco, crudo",51
ARGENFOOD,argen_vegetales.xls,"Mastuerzo, hoja",50
ARGENFOOD,argen_vegetales.xls,"Nabo, hervido",11
ARGENFOOD,argen_vegetales.xls,"Nabo, raiz (pulpa), fresco, crudo",10
ARGENFOOD,argen_vegetales.xls,"Nuez, pepita",715
ARGENFOOD,argen_vegetales.xls,"Papa, pulpa sin cáscara, fresca, cruda",88
ARGENFOOD,argen_vegetales.xls,"Papa, pulpa sin cáscara, frita, bastón",162
ARGENFOOD,argen_vegetales.xls,"Papa, pulpa sin cáscara, hervida",88
ARGENFOOD,argen_vegetales.xls,"Pepino, pulpa, fresco, crudo",15
ARGENFOOD,argen_vegetales.xls,"Perejil, hoja, fresco, crudo",60
ARGENFOOD,argen_vegetales.xls,"Piñon de araucaria, pepita, crudo",221
ARGENFOOD,argen_vegetales.xls,"Pistacho, pepita, crudo",648
ARGENFOOD,argen_vegetales.xls,"Poroto Alubia, semilla, seco",337
ARGENFOOD,argen_vegetales.xls,"Poroto Carioca, semilla, seco",336
ARGENFOOD,argen_vegetales.xls,"Poroto Colorado, semilla, seco",333
ARGENFOOD,argen_vegetales.xls,"Poroto Grand Berry, semilla, seco",336
ARGENFOOD,argen_vegetales.xls,"Poroto Great Northern, semilla, seco",326
ARGENFOOD,argen_vegetales.xls,"Poroto Negro, semilla, seco",306
ARGENFOOD,argen_vegetales.xls,"Poroto Novy Bean, semilla, seco",336
ARGENFOOD,argen_vegetales.xls,"Poroto Oval, semilla, seco",328
ARGENFOOD,argen_vegetales.xls,"Poroto Pallares, semilla, seco",322
ARGENFOOD,argen_vegetales.xls,"Poroto Small Red, semilla, seco",336
ARGENFOOD,argen_vegetales.xls,"Poroto, semilla, enlatado",89
ARGENFOOD,argen_vegetales.xls,"Poroto, semilla, seco, crudo",290
ARGENFOOD,argen_vegetales.xls,"Puerro (bulbo, tallo y hojas), fresco, crudo",45
ARGENFOOD,argen_vegetales.xls,"Quinua, harina",341
ARGENFOOD,argen_vegetales.xls,"Quinua, semilla, cruda",354
ARGENFOOD,argen_vegetales.xls,"Rabanito, raiz, fresco, crudo",29
ARGENFOOD,argen_vegetales.xls,"Remolacha, tubérculo, fresca, cruda",54
ARGENFOOD,argen_vegetales.xls,"Remolacha, tubérculo, hervida",36
ARGENFOOD,argen_vegetales.xls,"Repollito Bruselas, hoja, fresco, crudo",58
ARGENFOOD,argen_vegetales.xls,"Repollo blanco, hoja, fresco, crudo",17
ARGENFOOD,argen_vegetales.xls,"Repollo blanco, hoja, hervido",16
ARGENFOOD,argen_vegetales.xls,"Salsifí, raiz, fresco, crudo",85
ARGENFOOD,argen_vegetales.xls,"Soja FT11, poroto seco",368
ARGENFOOD,argen_vegetales.xls,"Soja, semilla madura, seca, cruda",356
ARGENFOOD,argen_vegetales.xls,"Tapioca, cruda (harina mandioca)",336
ARGENFOOD,argen_vegetales.xls,"Tapioca, hervida",55
ARGENFOOD,argen_vegetales.xls,"Tomate, fresco, crudo",20
ARGENFOOD,argen_vegetales.xls,"Tomate, hervido",21
ARGENFOOD,argen_vegetales.xls,"Tomate, jugo, fresco",11
ARGENFOOD,argen_vegetales.xls,"Verdolaga, hoja",32
ARGENFOOD,argen_vegetales.xls,"Verdolaga, hoja y tallo, fresca, cruda",23
ARGENFOOD,argen_vegetales.xls,"Yuyo colorado, hoja",60
ARGENFOOD,argen_vegetales.xls,"Zanahoria, jugo, fresco",22
ARGENFOOD,argen_vegetales.xls,"Zapallito, parte tierna, fresco, crudo",13
ARGENFOOD,argen_vegetales.xls,"Zapallito, parte tierna, hervido",16
ARGENFOOD,argen_vegetales.xls,"Zapallo, pulpa, fresco, crudo",27
ARGENFOOD,argen_vegetales.xls,"Zapallo, pulpa, hervido",20
